name,population,latitude,longitude,state,country,percentageOfSessions
Kazybek,4429,41.037249,75.536236,Naryn,Kyrgyzstan,
Internacionalʹnoe,4410,40.11605,69.66877,Batken,Kyrgyzstan,
Kyzyl-Too,4398,40.828212,73.520007,Oš,Kyrgyzstan,
Žar-Korgon,4380,40.239914,72.807189,Oš,Kyrgyzstan,
Ček,4374,40.111785,70.8449068,Batken,Kyrgyzstan,
Kuu-Majdan,4365,40.250621,72.723537,Oš,Kyrgyzstan,
Tôlôjkôn,4350,40.447559,72.559657,Oš,Kyrgyzstan,
Internacional,4349,40.267032,72.659283,Oš,Kyrgyzstan,
Alga,4307,40.23577,71.50021,Batken,Kyrgyzstan,
Beš-Korgon,4304,40.282421,72.582719,Oš,Kyrgyzstan,
Ozernoe,4295,42.99824,74.51786,Čùj,Kyrgyzstan,
Kara-Kočkor,4292,40.663771,73.511177,Oš,Kyrgyzstan,
Žylandy,4292,40.837096,73.315393,Oš,Kyrgyzstan,
Murkut,4282,40.299601,72.204789,Oš,Kyrgyzstan,
Ak-Tatyr,4219,39.9588604,70.4829931,Batken,Kyrgyzstan,
Baktuu-Dolonotu,4218,42.65189,77.1405,Ycyk-Kôl,Kyrgyzstan,
Arašan,4200,42.73314,74.64352,Čùj,Kyrgyzstan,
Kiči-Žargylčak,4198,42.207,77.688,Ycyk-Kôl,Kyrgyzstan,
Internacional,4192,42.79139,74.91361,Čùj,Kyrgyzstan,
Voznesenovka,4186,42.8175,73.783056,Čùj,Kyrgyzstan,
Ten̦dik,4166,42.208499,75.724635,Naryn,Kyrgyzstan,
Arka,4161,40.19852,69.89094,Batken,Kyrgyzstan,
Ôzgôrùš,4159,40.80141,73.2745,Oš,Kyrgyzstan,
Munduz,4145,40.994075,72.970527,Žalal-Abad,Kyrgyzstan,
Grozdʹ,4140,43.04167,74.64283,Čùj,Kyrgyzstan,
Šeker,4134,42.547645,71.158194,Talas,Kyrgyzstan,
Kum-Dôbô,4129,42.224,75.557074,Naryn,Kyrgyzstan,
Žen̦iš,4124,42.272778,77.787222,Ycyk-Kôl,Kyrgyzstan,
Kôtôrmô,4116,40.22074,72.685513,Oš,Kyrgyzstan,
Čym-Korgon,4115,42.81429,75.50011,Čùj,Kyrgyzstan,
Kajragač-Aryk,4109,40.57679,72.429731,Oš,Kyrgyzstan,
Kalinin,4086,42.8289,73.85147,Čùj,Kyrgyzstan,
Ùč-Terek,4076,41.76222,73.19748,Žalal-Abad,Kyrgyzstan,
Sretenka,4071,42.92722,74.13,Čùj,Kyrgyzstan,
Kyzyl-Kyrgyzstan,4065,40.971749,72.547698,Žalal-Abad,Kyrgyzstan,
Kyzyl-Sen̦gir,4051,40.64301,73.14234,Oš,Kyrgyzstan,
Ôrùktù,4036,41.395737,71.429738,Žalal-Abad,Kyrgyzstan,
Kyzyl-Tuu,4026,41.88651,72.942261,Žalal-Abad,Kyrgyzstan,
Alim-Tepe,4010,40.61177,72.76952,Oš,Kyrgyzstan,
Èrkin,4009,40.68083,72.89956,Oš,Kyrgyzstan,
Kôk-Taš,3998,39.730056,69.394278,Batken,Kyrgyzstan,
Koš-Dôbô,3998,41.084424,74.258518,Naryn,Kyrgyzstan,
Žan̦y-Pahta,3993,43.13782,74.26183,Čùj,Kyrgyzstan,
Pitomnik,3988,40.66497,72.93248,Oš,Kyrgyzstan,
Bajmunduz,3981,41.04538,72.813846,Žalal-Abad,Kyrgyzstan,
Orozbekov,3979,40.05904,71.68109,Batken,Kyrgyzstan,
Kyzyl-Dyjkan,3971,40.780172,73.396924,Oš,Kyrgyzstan,
Budennovka,3953,42.89587,74.9241,Čùj,Kyrgyzstan,
Sary-Kolot,3951,40.67766,73.01115,Oš,Kyrgyzstan,
Abšyr-Ata,3948,40.235869,72.349353,Oš,Kyrgyzstan,
Kašat,3943,42.716,77.45275,Ycyk-Kôl,Kyrgyzstan,
Lenin,3936,40.1013503,69.5999569,Batken,Kyrgyzstan,
Padek,3926,41.398,71.63571,Žalal-Abad,Kyrgyzstan,
Tôrt-Kùl,3925,42.11325,76.9497,Ycyk-Kôl,Kyrgyzstan,
Najman,3925,40.458809,72.171131,Oš,Kyrgyzstan,
Maj,3924,42.77361,71.479497,Talas,Kyrgyzstan,
Ak-Muz,3920,41.249135,76.136098,Naryn,Kyrgyzstan,
Dmitrievka,3920,42.89516,74.89972,Čùj,Kyrgyzstan,
Taštak,3889,41.026764,72.971873,Žalal-Abad,Kyrgyzstan,
Savaj,3888,40.74726,72.97594,Oš,Kyrgyzstan,
Oogon-Talaa,3887,41.265935,73.023819,Žalal-Abad,Kyrgyzstan,
Kôk-Žar,3886,40.296177,72.377613,Oš,Kyrgyzstan,
Bij-Myrza,3884,40.636899,73.578359,Oš,Kyrgyzstan,
Beš-Kùn̦gôj,3880,42.77146,74.64678,Čùj,Kyrgyzstan,
Kujbyšev,3877,41.90344,72.917491,Žalal-Abad,Kyrgyzstan,
Žèèrenči,3872,40.800303,73.341989,Oš,Kyrgyzstan,
Kyzyl-Mehnat,3870,40.61793,72.80866,Oš,Kyrgyzstan,
Dostuk,3852,40.178528,69.877167,Batken,Kyrgyzstan,
Ken̦-Aral,3835,42.526239,72.114065,Talas,Kyrgyzstan,
Rahmanžan,3829,41.055487,72.515871,Žalal-Abad,Kyrgyzstan,
Karool,3826,40.73633,73.24628,Oš,Kyrgyzstan,
Ak-Suu,3825,39.895833,69.369444,Batken,Kyrgyzstan,
Kyrgyzstan,3825,40.50542,72.72856,Oš,Kyrgyzstan,
Karl Marks,3818,40.52768,72.74366,Oš,Kyrgyzstan,
Kôkton̦du,3802,41.240973,72.967085,Žalal-Abad,Kyrgyzstan,
Sarykandy,3787,40.323236,72.376118,Oš,Kyrgyzstan,
Čymbaj,3780,40.711702,73.382751,Oš,Kyrgyzstan,
Žan̦y-Akman,3774,40.991713,72.810895,Žalal-Abad,Kyrgyzstan,
Čaek,3762,41.927133,74.52,Naryn,Kyrgyzstan,
Kara-Saj,3759,42.499072,71.332713,Talas,Kyrgyzstan,
Mombekov,3751,41.051,72.412685,Žalal-Abad,Kyrgyzstan,
Mihajlovka,3738,42.61021,78.3332,Ycyk-Kôl,Kyrgyzstan,
Kara-Koo,3731,42.212778,76.6325,Ycyk-Kôl,Kyrgyzstan,
Tamga,3726,42.1506,77.5481,Ycyk-Kôl,Kyrgyzstan,
Kuruluš,3715,41.047,72.569064,Žalal-Abad,Kyrgyzstan,
Kyzyl-Oktâbrʹ,3714,41.101124,72.791932,Žalal-Abad,Kyrgyzstan,
Novovoznesenovka,3710,42.587,78.74176,Ycyk-Kôl,Kyrgyzstan,
Kommunist,3685,40.55359,72.71927,Oš,Kyrgyzstan,
Mramornoe,3680,43.0492,74.49623,Čùj,Kyrgyzstan,
Čelpek,3669,42.45905,78.36759,Ycyk-Kôl,Kyrgyzstan,
Kyzyl-Tuu,3665,42.504005,72.368491,Talas,Kyrgyzstan,
Min̦-Kuš,3660,41.67362,74.45381,Naryn,Kyrgyzstan,
Lenin,3658,41.40323,74.05062,Žalal-Abad,Kyrgyzstan,
Ten̦gi,3652,41.203045,71.228068,Žalal-Abad,Kyrgyzstan,
Kaška-Suu,3650,39.64205,72.66778,Oš,Kyrgyzstan,
Čeč-Dôbô,3649,40.249186,72.811928,Oš,Kyrgyzstan,
Mamažan,3645,40.61043,72.91883,Oš,Kyrgyzstan,
Alma,3642,41.092314,72.683817,Žalal-Abad,Kyrgyzstan,
Nurmanbet,3627,42.8029,74.9771,Čùj,Kyrgyzstan,
Ken-Bulun̦,3604,42.87425,75.13069,Čùj,Kyrgyzstan,
Ângi-Ûlʹ,3581,40.601728,72.357143,Oš,Kyrgyzstan,
Žerge-Tal,3571,41.57233,75.789269,Naryn,Kyrgyzstan,
Semenovka,3567,42.72309,77.55343,Ycyk-Kôl,Kyrgyzstan,
Ken̦eš,3567,40.296215,72.246679,Oš,Kyrgyzstan,
Krasnyj Maâk,3566,40.812,73.334124,Oš,Kyrgyzstan,
Kačkynčy,3553,41.0096346,73.0349935,Žalal-Abad,Kyrgyzstan,
Kujbyšev,3549,41.5121,75.8592,Naryn,Kyrgyzstan,
Žan̦y-Žer,3542,40.26102,71.1023157,Batken,Kyrgyzstan,
Tažik-Kyštak,3533,40.24843,72.06768,Batken,Kyrgyzstan,
Žeke-Miste,3526,40.44911,72.235491,Oš,Kyrgyzstan,
Iskra,3524,42.81135,75.44175,Čùj,Kyrgyzstan,
