name,population,latitude,longitude,state,country,status
Mattsee,3466,47.9703866,13.1047752,Salzburg,Austria,
Vomp,3463,47.3442896,11.6885596,Tirol,Austria,
Wördern,3461,48.3311761,16.2129631,Niederösterreich,Austria,
Seitenstetten,3437,48.0359957,14.6541835,Niederösterreich,Austria,
Voldöpp,3427,47.4519065,11.9040426,Tirol,Austria,
Mannersdorf am Leithagebirge,3424,47.9744581,16.603272,Niederösterreich,Austria,
Pfaffstätten,3420,48.0154892,16.26257,Niederösterreich,Austria,
Traisen,3408,48.0491335,15.6084633,Niederösterreich,Austria,
Asten,3402,48.2188234,14.4202806,Oberösterreich,Austria,
Ober-Grafendorf,3391,48.1494994,15.5458673,Niederösterreich,Austria,
Murau,3375,47.11304,14.16904,Steiermark,Austria,
Ternberg,3367,47.9450579,14.3581886,Oberösterreich,Austria,
Bürs,3363,47.1514259,9.8052488,Vorarlberg,Austria,
Kaltenleutgeben,3345,48.1186151,16.2040047,Niederösterreich,Austria,
Hinterbrühl,3342,48.0791123,16.2383754,Niederösterreich,Austria,
Hausmannstätten,3341,46.9906882,15.5091579,Steiermark,Austria,
Göfis,3333,47.2349756,9.634405,Vorarlberg,Austria,
Attnang,3315,48.0159172,13.7210659,Oberösterreich,Austria,
Mauerbach,3312,48.2461002,16.1655344,Niederösterreich,Austria,
Schärding Vorstadt,3308,48.452264,13.4391633,Oberösterreich,Austria,
Ottensheim,3298,48.332172,14.1743045,Oberösterreich,Austria,
Sankt Florian,3294,48.2050544,14.3779027,Oberösterreich,Austria,
Schladming,3293,47.3939887,13.6861309,Steiermark,Austria,
Donawitz,3292,47.3772957,15.0645282,Steiermark,Austria,
Ebergassing,3265,48.0456515,16.5188539,Niederösterreich,Austria,
Krumpendorf,3262,46.6268212,14.2083844,Kärnten,Austria,
Zams,3250,47.1575863,10.5894458,Tirol,Austria,
Steyregg,3236,48.2835239,14.3713292,Oberösterreich,Austria,
Hornstein,3217,47.8805115,16.4447186,Burgenland,Austria,
Timelkam,3214,48.0019658,13.6060787,Oberösterreich,Austria,
Weidling,3212,48.2890645,16.3034325,Niederösterreich,Austria,
Ebbs,3211,47.6295129,12.2148523,Tirol,Austria,
Seeboden am Millstätter See,3208,46.8191073,13.5169461,Kärnten,Austria,
Alberschwende,3208,47.4506856,9.8313443,Vorarlberg,Austria,
Schrems,3207,48.7934485,15.0661944,Niederösterreich,Austria,
Siegendorf,3203,47.7733968,16.5292954,Burgenland,Austria,
Ennsdorf,3188,48.2188027,14.5021103,Niederösterreich,Austria,
Siezenheim,3173,47.7904183,12.9682912,Salzburg,Austria,
Kleinhöflein im Burgenland,3171,47.84637,16.52796,Burgenland,Austria,
Pregarten,3159,48.3497722,14.5264048,Oberösterreich,Austria,
Langenwang,3149,47.5667939,15.6186577,Steiermark,Austria,
Weyer,3147,47.8571945,14.6637906,Oberösterreich,Austria,
Krieglach,3147,47.543213,15.5627057,Steiermark,Austria,
Loosdorf,3144,48.2006145,15.4000325,Niederösterreich,Austria,
Kierling,3142,48.3089643,16.2769309,Niederösterreich,Austria,
Unterwaltersdorf,3142,47.9701779,16.4458326,Niederösterreich,Austria,
Biedermannsdorf,3141,48.0832406,16.3459774,Niederösterreich,Austria,
Fulpmes,3140,47.1521124,11.3483091,Tirol,Austria,
Fernitz,3117,46.9726402,15.4986348,Steiermark,Austria,
Gröbming,3112,47.4444782,13.9018725,Steiermark,Austria,
