name,population,state,country,percentageOfSessions,latitude,longitude
Tobyl,6186,Qostanai,Kazakhstan,null,52.693645,62.594765
Qyzyljar,6168,Turkıstan,Kazakhstan,null,41.5133342,69.2744638
Prigorodnoe,6165,Jambyl,Kazakhstan,null,42.8455941,71.4155761
Narynqol,6142,Almaty,Kazakhstan,null,42.729275,80.177589
Presnovka,6113,Soltustık Qazaqstan,Kazakhstan,null,54.6686113,67.1452217
Baianauyl,6078,Pavlodar,Kazakhstan,null,50.7928518,75.702764
Astrahanka,6070,Aqmola,Kazakhstan,null,51.5291831,69.7916595
İavlenka,6032,Soltustık Qazaqstan,Kazakhstan,null,54.3462508,68.4566996
Keñqiiaq,6015,Aqtöbe,Kazakhstan,null,48.6074723,57.113878
Menovnoe,5999,Şyğys Qazaqstan,Kazakhstan,null,49.9335966,82.5842022
Hantağy,5978,Turkıstan,Kazakhstan,null,43.5268585,68.5861978
Bestöbe,5965,Aqmola,Kazakhstan,null,52.5007624,73.0922388
Samarskoe,5948,Şyğys Qazaqstan,Kazakhstan,null,49.0204765,83.3658198
Qobda,5943,Aqtöbe,Kazakhstan,null,50.1521793,55.6679179
Jympity,5931,Batys Qazaqstan,Kazakhstan,null,50.260317,52.6010876
Boroduliha,5912,Şyğys Qazaqstan,Kazakhstan,null,50.7207116,80.9340577
Kemertoğan,5891,Almaty,Kazakhstan,null,43.246567,76.746597
Qyzyltal,5865,Batys Qazaqstan,Kazakhstan,null,51.132874,53.06699
Aqtau,5851,Qarağandy,Kazakhstan,null,50.2288046,73.0588809
Baizaq,5850,Jambyl,Kazakhstan,null,42.973522,71.527969
Solnetşnyi,5843,Pavlodar,Kazakhstan,null,52.03487,75.461388
Badamşa,5824,Aqtöbe,Kazakhstan,null,50.562958,58.283154
Smirnovo,5820,Soltustık Qazaqstan,Kazakhstan,null,54.51453,69.419189
Aqjar,5818,Şyğys Qazaqstan,Kazakhstan,null,47.582851,83.689468
Aqjar,5815,Atyrau,Kazakhstan,null,47.2130462,51.9510333
Molodejnyi,5806,Qarağandy,Kazakhstan,null,50.722263,73.531303
Qyzylsai,5803,Mañğystau,Kazakhstan,null,43.448353,53.038296
Aqbūlaq,5765,Turkıstan,Kazakhstan,null,42.383747,69.8918262
Jañaqūrylys,5752,Almaty,Kazakhstan,null,43.2471201,76.3157392
Qaraauyl,5717,Şyğys Qazaqstan,Kazakhstan,null,48.949196,79.254616
Baqtybai Jolbarysūly,5714,Almaty,Kazakhstan,null,44.931416,78.260361
Krugloozernyi,5705,Batys Qazaqstan,Kazakhstan,null,51.0782686,51.2822337
Darinskoe,5701,Batys Qazaqstan,Kazakhstan,null,51.3564389,51.7507346
Ülken Şağan,5698,Almaty,Kazakhstan,null,44.170177,80.087158
Aqşi,5650,Almaty,Kazakhstan,null,43.9933443,76.3339
Jañaşar,5645,Almaty,Kazakhstan,null,43.438431,77.259712
Rakuşa,5610,Atyrau,Kazakhstan,null,47.0571707,51.8378186
Andas batyr,5599,Jambyl,Kazakhstan,null,42.8292711,73.4934327
Sastöbe,5588,Turkıstan,Kazakhstan,null,42.5543364,69.9968655
Betqainar,5587,Jambyl,Kazakhstan,null,43.210541,74.466866
