Name,Latitude,Longitude,Population
Las Ollas Abajo,8.8418105,-79.9052515,566
El Higo,8.4516476,-80.0367215,566
Las Barreras,8.1047463,-80.9973863,566
Cerro Algodon,8.3573782,-81.6460574,566
Palenque,9.2072551,-79.6790165,565
Quebrada de Vueltas,8.6852529,-82.8384897,564
La Cresta,8.6379929,-79.8791259,564
Punta Alegre,8.2952498,-78.2540886,563
La Pasera,7.8005462,-80.3023621,563
Mansucun,9.034005,-77.8091182,563
La Noneca o Llanito Verde,8.905428,-79.8952546,560
Nance Risco,9.25619,-82.4815812,558
Palo Verde,8.3877857,-80.1972237,556
Llano Grande,8.6246696,-79.9230554,556
Finca 43,9.4739553,-82.4996384,555
Sabanas de Chilibre,9.157907,-79.5927009,555
Guayabal o Alto Guayabal,8.3516094,-81.8703344,555
San Pedro del Espino,8.1378088,-81.0840681,554
Yancib Diwar o Carreto,8.7816834,-77.5798111,553
Los Monos o Arimae,8.6908606,-78.1490101,552
Rio Potrero,8.9616748,-79.6927977,552
Naranjal,9.1344185,-79.2239554,552
Tebujo,8.3949643,-81.7312358,552
El Potrero,8.5210999,-80.5220566,550
Llano Limon,8.2503634,-81.6554921,549
Las Minas,8.6406538,-80.3956765,548
Nueva Providencia,9.2718212,-79.8060626,548
Nutivi,8.8706448,-81.8410307,546
Finca 3,9.4243189,-82.4734472,545
Santa  Rita,8.4976177,-80.1881251,545
El Banco,8.691655,-82.5159089,542
Isla Tigre,9.1797451,-82.0859755,540
Isla Tigre,0,0,540
Isla Tigre,9.180377,-82.0966922,540
Los Remedios,8.1435823,-81.0197291,540
Rio Piedra 1,9.4574645,-79.7236458,538
Las Tablas Abajo,7.793808,-80.2525335,538
Cucunati,8.5790436,-78.2556905,537
Llano Junco,8.3531742,-81.7544495,537
Pueblo Nuevo,8.5347291,-82.5062536,535
Oma,8.3476654,-81.7989786,535
Pueblo Nuevo,8.5800963,-82.4217362,534
Rincon Largo,8.1551047,-81.0494396,534
Maraca o Llano Majagua,8.3762069,-81.7334856,534
Puerto Obaldia,8.6663192,-77.4192235,533
La Valdeza,8.7869885,-79.9660451,532
San Miguel,9.2258688,-79.2535271,532
Mamartupu,9.452967,-78.8329809,532
El Chiru,8.4031235,-80.1897982,531
Los Cerritos,7.8001412,-80.6092001,531
Veladero,8.4304522,-82.5682499,530
Cayo de Agua,9.1600585,-82.0459103,529
San Juan o Cerrillos,8.2783111,-81.9961533,529
Monte Verde,8.2741397,-82.8734684,528
Narbagandup Dummad o Naranjo Grande,9.4614424,-79.0260621,528
Ciruelito,8.4592723,-80.451629,526
Cerro Tijera,8.3321205,-81.6634662,526
San Cristobal,9.2888207,-82.2647274,525
La Esmeralda,8.2681728,-78.9245965,524
Miguel de La Borda,9.154451,-80.3042285,523
San Jose,7.6688206,-80.2492962,523
San Agustin,7.9193476,-80.4435706,523
Las Matas,8.4714464,-80.0965498,522
Majagual,8.3341583,-82.7624422,521
Caisan  Abajo o Caisan Centro,8.7627777,-82.7915182,521
Sabana Grande,7.83904,-80.3668266,521
Finca Corredor,8.348769,-82.8720471,520
Hicaco,7.6524901,-81.203663,520
Sonadora,8.5521842,-80.3264199,515
San Pedro,8.5612256,-82.8030777,515
Pueblito,8.2604822,-81.977865,515
Camaron Arriba,8.3753442,-82.0035446,515
Puente del Medio,9.4857715,-82.6005773,514
Sagreja,8.6620597,-80.3402652,514
Los Chiricanos,8.9780468,-82.214378,513
Alto Cerron,8.7671642,-82.8589509,512
Los Olivos,8.3263419,-82.783177,511
Piedras Gordas,8.6385513,-80.5091863,510
Los Castillos,8.0259913,-81.1156829,510
Chiguiri Arriba,8.6705401,-80.1866264,509
Ponuga,7.8825017,-80.9768701,509
Asentamiento Almendro,8.4294529,-82.8754415,508
Los Pozos,7.7880258,-80.6457099,508
Quira,8.4361779,-82.8556721,507
Guabas Arriba,8.4743769,-80.261541,506
Puerto Vidal,8.0508296,-81.604854,506
Finca Balsa,8.4289089,-82.897259,502
Portuchada o Santa Rosa,8.4550548,-77.9249784,502
Villa Darien,8.5451836,-78.0079686,502
Carti Mulatupu,9.4676855,-78.9493504,502
Mague,8.6674752,-82.3645351,501
Quebrada Honda,8.6245887,-78.116485,501
La Soledad,7.8785297,-81.2688847,500
El Limon,8.0569835,-80.7724891,498
Portobelillo,8.0192517,-80.5943421,497
Piriati o Piriati Embera,9.0538106,-78.6190744,497
Buenos Aires,8.6328087,-79.9456473,496
Navagandi,9.0239342,-77.802362,496
Manchuila,8.477569,-82.7143114,495
Palma Real,8.6578196,-82.5193028,495
Bucori,9.1109041,-81.897509,495
Pocri,7.6587188,-80.1194989,494
Entre Rios,8.8699863,-82.5788198,493
Macano Abajo,8.5520674,-82.5736625,490
El Embalsadero,8.1040715,-81.047907,490
Plan de Chorcha,8.4678682,-82.157344,490
